英文名称,中文名称,类型,说明
SECCODE,Stock Code,varchar(10),
SECNAME,Stock Abbr,varchar(100),
ORGNAME,Company Name,varchar(100),
DECLAREDATE,Announcement Date,datetime,
REPORTPD,Reporting Period,date,"March 31, June 30, September 30, and December 31 are respective signifiers of 1Q Report, Semi-annual Report, 3Q Report and Annual Report."
STARTDATE,Start Date,date,
ENDDATE,End Date,date,
CONSOTYPE,Statement Type,varchar(200),"Including Consolidated Statements for Current Reporting Period, Consolidated Statements for Last Reporting Period, Statements of the Parent Company for Current Reporting Period and Statements of the Parent Company for Last Reporting Period. Please refer to Table PUBLIC0006 where f001v='071' for more information."
SOURCE,Data Source,varchar(200),"Including Prospectus, Listing Announcement, Periodic Report, Preliminary Earnings Estimate and Other Announcements, etc. Please refer to Table PUBLIC0006 where f001v='033' for more information."
F001N,I. Cash Flows key Operating Activities,"decimal(18,2)",
F002N,Net Decrease in Loans and Advances to Customers,"decimal(18,2)",
F003N,Net Incr. in Customer Deposits and Due to Banks and Others,"decimal(18,2)",
F004N,Net Increase in Borrowings key Central Bank,"decimal(18,2)",
F005N,Net Decr. in Deposits with Central Bank and Others,"decimal(18,2)",
F006N,Net Increase in Placements key Other Financial Institutions,"decimal(18,2)",
F007N,"Cash Received key Interest, Fees and Commissions","decimal(18,2)",
F008N,Cash Received key Other Operating Activities,"decimal(18,2)",
F009N,Subtotal of Cash Inflows key Operating Activities,"decimal(18,2)",
F010N,Net Increase in Loans and Advances to Customers,"decimal(18,2)",
F011N,Net Decr. in Customer Deposits and Due to Banks and Others,"decimal(18,2)",
F012N,Net Decrease in Borrowings key Central Bank,"decimal(18,2)",
F013N,Net Incr. in Deposits with Central Bank and Others,"decimal(18,2)",
F014N,Net Increase in Loans to Other Financial Institutions,"decimal(18,2)",
F015N,Net Decrease in Placements key Other Financial Institutions,"decimal(18,2)",
F016N,Cash Paid for Fees and Commissions,"decimal(18,2)",
F017N,Cash Paid to and for Employees,"decimal(18,2)",
F018N,Taxes and Fees Paid,"decimal(18,2)",
F019N,Cash Paid for Other Operating Activities,"decimal(18,2)",
F020N,Subtotal of Cash Outflows key Operating Activities,"decimal(18,2)",
F021N,Net Cash Flows key Operating Activities,"decimal(18,2)",
F022N,II. Cash Flows key Investing Activities,"decimal(18,2)",
F023N,Cash Received key Disposal of Investments,"decimal(18,2)",
F024N,Cash Received key Investment Income,"decimal(18,2)",
F025N,Cash Received key Other Investing Activities,"decimal(18,2)",
F026N,Subtotal of Cash Inflows key Investing Activities,"decimal(18,2)",
F027N,Cash Paid for Investments,"decimal(18,2)",
F028N,"Cash for Acquiring Fixed, Intangible and Other Long-term Assets","decimal(18,2)",
F029N,Cash Paid for Other Investing Activities,"decimal(18,2)",
F030N,Subtotal of Cash Outflows key Investing Activities,"decimal(18,2)",
F031N,Net Cash Flows key Investing Activities,"decimal(18,2)",
F032N,III. Cash Inflows key Financing Activities,"decimal(18,2)",
F033N,Cash Received key Capital Contributions,"decimal(18,2)",
F034N,Cash Received key Bond Issue,"decimal(18,2)",
F035N,Cash Received key Other Financing Activities,"decimal(18,2)",
F036N,Subtotal of Cash Inflows key Financing Activities,"decimal(18,2)",
F037N,Cash Paid for Debts,"decimal(18,2)",
F038N,"Cash Paid for Dividend, Profit or Interest","decimal(18,2)",
F039N,Cash Paid for Other Financing Activities,"decimal(18,2)",
F040N,Subtotal of Cash Outflows key Financing Activities,"decimal(18,2)",
F041N,Net Cash Flows key Financing Activities,"decimal(18,2)",
F042N,IV. Effect of Foreign Exchange Rate Changes on Cash,"decimal(18,2)",
F043N,V. Net Increase in Cash and Cash Equivalents,"decimal(18,2)",
F044N,Opening Balance of Cash and Cash Equivalents,"decimal(18,2)",
F045N,Closing Balance of Cash and Cash Equivalents,"decimal(18,2)",
F046N,1. Converting Net Profit to Cash Flow key Operating Activities,"decimal(18,2)",
F047N,Net Profit,"decimal(18,2)",
F048N,Add: Provision for Asset Impairment,"decimal(18,2)",
F049N,"Depreciation of Fixed, Oil and Gas, and Productive Bio Assets","decimal(18,2)",
F050N,Amortization of Intangible Assets,"decimal(18,2)",
F051N,Amortization of Long-term Deferred Expenses,"decimal(18,2)",
F052N,"Loss key Fixed, Intangible and Other Long-term Assets Disposal","decimal(18,2)",
F053N,Losses key Retirement of Fixed Assets,"decimal(18,2)",
F054N,Losses key Changes in Fair Value,"decimal(18,2)",
F055N,Financial Expenses,"decimal(18,2)",
F056N,Investment Losses,"decimal(18,2)",
F057N,Decrease in Deferred Income Tax Assets,"decimal(18,2)",
F058N,Increase in Deferred Income Tax Liabilities,"decimal(18,2)",
F059N,Decrease in Inventories,"decimal(18,2)",
F060N,Decrease in Operating Receivables,"decimal(18,2)",
F061N,Increase in Operating Payables,"decimal(18,2)",
F062N,Others,"decimal(18,2)",
F063N,Net Cash Flow key Operating Activities 2,"decimal(18,2)",
F064N,2. Major Investing and Financing Activities Uninvolved with Cash,"decimal(18,2)",
F065N,Debt Converted to Capital,"decimal(18,2)",
F066N,Convertible Bonds Due Within One Year,"decimal(18,2)",
F067N,Fixed Assets Under Financing Lease,"decimal(18,2)",
F068N,3. Changes of Cash and Cash Equivalents,"decimal(18,2)",
F069N,Closing Balance of Cash,"decimal(18,2)",
F070N,Less: Opening Balance of Cash,"decimal(18,2)",
F071N,Add: Closing Balance of Cash Equivalents,"decimal(18,2)",
F072N,Less: Opening Balance of Cash Equivalents,"decimal(18,2)",
F073N,Add: Effect on Cash by Other Reasons 2,"decimal(18,2)",
F074N,Net Increase in Cash and Cash Equivalents,"decimal(18,2)",
