英文名称,中文名称,类型,说明
SECCODE,Stock Code,varchar(10),
SECNAME,Stock Abbr,varchar(100),
ORGNAME,Company Name,varchar(100),
DECLAREDATE,Announcement Date,datetime,
REPORTPD,Reporting Period,date,"March 31, June 30, September 30, and December 31 are respective signifiers of 1Q Report, Semi-annual Report, 3Q Report and Annual Report."
STARTDATE,Start Date,date,
ENDDATE,End Date,date,
CONSOTYPE,Statement Type,varchar(200),"Including Consolidated Statements for Current Reporting Period, Consolidated Statements for Last Reporting Period, Statements of the Parent Company for Current Reporting Period and Statements of the Parent Company for Last Reporting Period. Please refer to Table PUBLIC0006 where f001v='071' for more information."
SOURCE,Data Source,varchar(200),"Including Prospectus, Listing Announcement, Periodic Report, Preliminary Earnings Estimate and Other Announcements, etc. Please refer to Table PUBLIC0006 where f001v='033' for more information."
F001N,I. Operating Income,"decimal(18,2)",
F002N,Net Interest Income,"decimal(18,2)",
F003N,Interest Income,"decimal(18,2)",
F004N,Interest Expenses,"decimal(18,2)",
F005N,Net Fee and Commission Income,"decimal(18,2)",
F006N,Fee and Commission Income,"decimal(18,2)",
F007N,Fee and Commission Expenses,"decimal(18,2)",
F008N,Investment Income,"decimal(18,2)",
F009N,Of Which: Investment Income key Associates and Joint Ventures,"decimal(18,2)",
F010N,Income key Changes in Fair Value,"decimal(18,2)",
F011N,Exchange Income,"decimal(18,2)",
F012N,Income key Disposal of Assets,"decimal(18,2)",
F013N,Other Income,"decimal(18,2)",
F014N,Other Operating Income,"decimal(18,2)",
F015N,II. Operating Cost,"decimal(18,2)",
F016N,Business Taxes and Surcharges,"decimal(18,2)",
F017N,Operating and Administrative Expenses,"decimal(18,2)",
F018N,Impairment Losses on Assets,"decimal(18,2)",
F019N,Other Operating Cost,"decimal(18,2)",
F020N,III. Operating Profit,"decimal(18,2)",
F021N,Non-operating Income,"decimal(18,2)",
F022N,Less: Non-operating Expenses,"decimal(18,2)",
F023N,Add: Other Items Affecting Total Profit,"decimal(18,2)",
F024N,IV. Total Profit,"decimal(18,2)",
F025N,Less: Income Tax,"decimal(18,2)",
F026N,Add: Other Items Affecting Net Profit,"decimal(18,2)",
F027N,V. Net Profit,"decimal(18,2)",
F028N,1. Net Profit Attributable to the Parent Company Owners,"decimal(18,2)",
F029N,2. Minority Interests,"decimal(18,2)",
F030N,VI. Basic EPS,"decimal(22,6)",
F031N,VI. Diluted EPS,"decimal(22,6)",
