英文名称,中文名称,类型,说明
SECCODE,Stock Code,varchar(10),
SECNAME,Stock Abbr,varchar(100),
ORGNAME,Company Name,varchar(100),
DECLAREDATE,Announcement Date,datetime,
REPORTPD,Reporting Period,date,"March 31, June 30, September 30, and December 31 are respective signifiers of 1Q Report, Semi-annual Report, 3Q Report and Annual Report."
ENDDATE,End Date,date,
CONSOTYPE,Statement Type,varchar(200),"Including Consolidated Statements for Current Reporting Period, Consolidated Statements for Last Reporting Period, Statements of the Parent Company for Current Reporting Period and Statements of the Parent Company for Last Reporting Period. Please refer to Table PUBLIC0006 where f001v='071' for more information."
SOURCE,Data Source,varchar(200),"Including Prospectus, Listing Announcement, Periodic Report, Preliminary Earnings Estimate and Other Announcements, etc. Please refer to Table PUBLIC0006 where f001v='033' for more information."
F001N,Monetary Fund,"decimal(18,2)",
F002N,Balance with Clearing Companies,"decimal(18,2)",
F003N,Loans to Banks and Other Financial Institutions,"decimal(18,2)",
F004N,Transactional Financial Assets,"decimal(18,2)",
F005N,Derivative Financial Assets,"decimal(18,2)",
F006N,Notes Receivable,"decimal(18,2)",
F007N,Accounts Receivable,"decimal(18,2)",
F008N,Prepayments,"decimal(18,2)",
F009N,Insurance Premiums Receivable,"decimal(18,2)",
F010N,Reinsurance Premiums Receivable,"decimal(18,2)",
F011N,Reinsurance Contract Reserves Receivable,"decimal(18,2)",
F012N,Other Accounts Receivables,"decimal(18,2)",
F013N,Accounts Receivable key Related Companies,"decimal(18,2)",
F014N,Interest Receivable,"decimal(18,2)",
F015N,Dividend Receivable,"decimal(18,2)",
F016N,Financial Assets Purchased under Resale Agreements,"decimal(18,2)",
F017N,Inventory,"decimal(18,2)",
F018N,Of Which: Consumptive Biological Assets,"decimal(18,2)",
F019N,Loans and Advances to Customers - Current Assets,"decimal(18,2)",
F020N,Assets Classified as Available-for-sale,"decimal(18,2)",
F021N,Non-current Assets Due Within One Year,"decimal(18,2)",
F022N,Other Current Assets,"decimal(18,2)",
F023N,Total Current Assets,"decimal(18,2)",
F024N,Loans and Advances to Customers - Non-current Assets,"decimal(18,2)",
F025N,Available-for-sale Financial Assets,"decimal(18,2)",
F026N,Held-to-maturity Investment,"decimal(18,2)",
F027N,Long-term Accounts Receivable,"decimal(18,2)",
F028N,Long-term Equity Investment,"decimal(18,2)",
F029N,Investment Properties,"decimal(18,2)",
F030N,Fixed Assets,"decimal(18,2)",
F031N,Construction in Progress,"decimal(18,2)",
F032N,Project Materials,"decimal(18,2)",
F033N,Disposal of Fixed Assets,"decimal(18,2)",
F034N,Productive Biological Assets,"decimal(18,2)",
F035N,Oil and Gas Assets,"decimal(18,2)",
F036N,Intangible Assets,"decimal(18,2)",
F037N,Development Expenditures,"decimal(18,2)",
F038N,Goodwill,"decimal(18,2)",
F039N,Long-term Deferred Expenses,"decimal(18,2)",
F040N,Deferred Income Tax Assets,"decimal(18,2)",
F041N,Other Non-Current Assets,"decimal(18,2)",
F042N,Total Non-Current Assets,"decimal(18,2)",
F043N,Total Assets,"decimal(18,2)",
F044N,Short-term Loans,"decimal(18,2)",
F045N,Borrowings key Central Bank,"decimal(18,2)",
F046N,Customer Deposits and Due to Banks and Others,"decimal(18,2)",
F047N,Placements key Banks and Other Financial Institutions,"decimal(18,2)",
F048N,Transactional Financial Liabilities,"decimal(18,2)",
F049N,Derivative Financial Liabilities,"decimal(18,2)",
F050N,Notes Payable,"decimal(18,2)",
F051N,Accounts Payable,"decimal(18,2)",
F052N,Advances key Customers,"decimal(18,2)",
F053N,Financial Assets Sold under Repurchase Agreements,"decimal(18,2)",
F054N,Fees and Commissions Payable,"decimal(18,2)",
F055N,Payroll Payable,"decimal(18,2)",
F056N,Taxes Payable,"decimal(18,2)",
F057N,Interest Payable,"decimal(18,2)",
F058N,Dividend Payable,"decimal(18,2)",
F059N,Other Payables,"decimal(18,2)",
F060N,Accounts Payable to Related Companies,"decimal(18,2)",
F061N,Reinsurance Premiums Payable,"decimal(18,2)",
F062N,Insurance Contract Reserves,"decimal(18,2)",
F063N,Customer Brokerage Deposits,"decimal(18,2)",
F064N,Securities Underwriting Brokerage Deposits,"decimal(18,2)",
F065N,Liabilities Classified as Available-for-sale,"decimal(18,2)",
F066N,Non-current Liabilities Due Within One Year,"decimal(18,2)",
F067N,Deferred Income- Current Liabilities,"decimal(18,2)",
F068N,Estimated Liabilities- Current Liabilities,"decimal(18,2)",
F069N,Other Current Liabilities,"decimal(18,2)",
F070N,Total Current Liabilities,"decimal(18,2)",
F071N,Long-term Loans,"decimal(18,2)",
F072N,Bonds Payable,"decimal(18,2)",
F073N,Of Which: Preferred Stock - Non-current Liabilities,"decimal(18,2)",
F074N,Perpetual Bond - Non-current Liabilities,"decimal(18,2)",
F075N,Long-term Payables,"decimal(18,2)",
F076N,Long-term Payroll Payable,"decimal(18,2)",
F077N,Special Payables,"decimal(18,2)",
F078N,Estimated Liabilities,"decimal(18,2)",
F079N,Deferred Income - Non-current Liabilities,"decimal(18,2)",
F080N,Deferred Income Tax Liabilities,"decimal(18,2)",
F081N,Other Non-current Liabilities,"decimal(18,2)",
F082N,Total Non-current Liabilities,"decimal(18,2)",
F083N,Total Liabilities,"decimal(18,2)",
F084N,Paid-in Capital (or Share Capital),"decimal(18,2)",
F085N,Other Equity Instruments,"decimal(18,2)",
F086N,Of Which: Preferred Stock - Owners' Equity,"decimal(18,2)",
F087N,Perpetual Bond - Owners' Equity,"decimal(18,2)",
F088N,Capital Reserve,"decimal(18,2)",
F089N,Less: Treasury Stocks,"decimal(18,2)",
F090N,Other Comprehensive Income,"decimal(18,2)",
F091N,Special Reserve,"decimal(18,2)",
F092N,Surplus Reserve,"decimal(18,2)",
F093N,General Risk Reserve,"decimal(18,2)",
F094N,Retained Profit,"decimal(18,2)",
F095N,Equity Attributable to the Parent Company Owners,"decimal(18,2)",
F096N,Minority Interests,"decimal(18,2)",
F097N,Foreign Currency Translation Differences,"decimal(18,2)",
F098N,Adjustment to Abnormal Operation Income,"decimal(18,2)",
F099N,Total Shareholders' Equity,"decimal(18,2)",
F100N,Total Liabilities and Shareholders' Equity,"decimal(18,2)",
