英文名称,中文名称,类型,说明
SECCODE,Stock Code,varchar(10),
SECNAME,Stock Abbr,varchar(100),
ORGNAME,Company Name,varchar(100),
DECLAREDATE,Announcement Date,datetime,
REPORTPD,Reporting Period,date,"March 31, June 30, September 30, and December 31 are respective signifiers of 1Q Report, Semi-annual Report, 3Q Report and Annual Report."
STARTDATE,Start Date,date,
ENDDATE,End Date,date,
CONSOTYPE,Statement Type,varchar(200),"Including Consolidated Statements for Current Reporting Period, Consolidaed Statements for Last Reporting Period, Statements of the Parent Company for Current Reporting Period and Statements of the Parent Company for Last Reporting Period. Please refer to Table PUBLIC0006 where f001v='071' for more information."
SOURCE,Data Source,varchar(200),"Including Prospectus, Listing Announcement, Periodic Report, Preliminary Earnings Estimate and Other Announcements, etc. Please refer to Table PUBLIC0006 where f001v='033' for more information."
F001N,I. Total Operating Income,"decimal(18,2)",
F002N,Of Which: Operating Income,"decimal(18,2)",
F003N,Interest Income,"decimal(18,2)",
F004N,Earned Premium,"decimal(18,2)",
F005N,Fee and Commission Income,"decimal(18,2)",
F006N,II. Total Operating Cost,"decimal(18,2)",Total Operating Cost= Operating Cost+ Interest Expenses+ Fee and Commission Expenses+ Surrenders+ Net Claims Paid+ Net Change in Insurance Contract Reserves+ Policyholder Dividend Expenses+ Expenses for Reinsurance Accepted
F007N,Of Which: Operating Cost,"decimal(18,2)",
F008N,Interest Expenses,"decimal(18,2)",
F009N,Fee and Commission Expenses,"decimal(18,2)",
F010N,Surrenders,"decimal(18,2)",
F011N,Net Claims Paid,"decimal(18,2)",
F012N,Net Change in Insurance Contract Reserves,"decimal(18,2)",
F013N,Policyholder Dividend Expenses,"decimal(18,2)",
F014N,Expenses for Reinsurance Accepted,"decimal(18,2)",
F015N,Business Taxes and Surcharges,"decimal(18,2)",
F016N,Sales Expenses,"decimal(18,2)",
F017N,Administrative Expenses,"decimal(18,2)",
F018N,Exploration Expenses,"decimal(18,2)",
F019N,Financial Expenses,"decimal(18,2)",
F020N,Impairment Losses on Assets,"decimal(18,2)",
F021N,Add: Net Income key Changes in Fair Value,"decimal(18,2)",
F022N,Investment Income,"decimal(18,2)",
F023N,Of Which: Investment Income key Associates and Joint Ventures,"decimal(18,2)",
F024N,Income key Disposal of Assets,"decimal(18,2)",
F025N,Exchange Income,"decimal(18,2)",
F026N,Other Income,"decimal(18,2)",
F027N,Other Items Affecting Operating Profit,"decimal(18,2)",
F028N,III. Operating Profit,"decimal(18,2)",
F029N,Add: Subsidy Income,"decimal(18,2)",
F030N,Non-operating Income,"decimal(18,2)",
F031N,Of Which: Gains key Disposal of Non-current Assets,"decimal(18,2)",
F032N,Less: Non-operating Expenses,"decimal(18,2)",
F033N,Of Which: Net Losses key Disposal of Non-current Assets,"decimal(18,2)",
F034N,Add: Other Items Affecting Total Profit,"decimal(18,2)",
F035N,IV. Total Profit,"decimal(18,2)",
F036N,Less: Income Tax,"decimal(18,2)",
F037N,Add: Other Items Affecting Net Profit,"decimal(18,2)",
F038N,V. Net Profit,"decimal(18,2)",
F039N,Net Income key Continuing Operation,"decimal(18,2)",
F040N,Net Income key Discontinued Operation,"decimal(18,2)",
F041N,Net Profit Attributable to the Parent Company Owners,"decimal(18,2)",
F042N,Minority Interests,"decimal(18,2)",
F043N,VI. Basic EPS,"decimal(14,6)",
F044N,VI. Diluted EPS,"decimal(14,6)",
F045N,VII. Other Comprehensive Income,"decimal(18,2)",
F046N,VIII. Total Comprehensive Income,"decimal(18,2)",
F047N,Of Which: Total Income Attributable to the Parent Company Owners,"decimal(18,2)",
F048N,Of Which: Total Income Attributable to Minority Shareholders,"decimal(18,2)",
